"BRAND_OWNER__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RECORDTYPEID","SYSTEMMODSTAMP","TYPE__C"
"","005Hp00000igHBGIA2","2024-01-23T11:29:14.000Z","MXN","a0FHp00000uorcKMAQ","false","005Hp00000igHBGIA2","2024-01-23T11:29:14.000Z","2024-03-03T14:07:14.000Z","2024-03-03T14:07:14.000Z","Coca Cola Company","005Hp00000igHBGIA2","012Hp000001mPmGIAU","2024-01-23T11:29:14.000Z","Brand Owner"
"a0FHp00000uorcKMAQ","005Hp00000igHBGIA2","2024-01-23T11:29:16.000Z","MXN","a0FHp00000uorcPMAQ","false","005Hp00000igHBGIA2","2024-01-23T11:29:16.000Z","2024-03-01T14:47:16.000Z","2024-03-01T14:47:16.000Z","Coca Cola","005Hp00000igHBGIA2","012Hp000001mPmEIAU","2024-01-23T11:29:16.000Z","Brand"
"a0FHp00000uorcKMAQ","005Hp00000igHBGIA2","2024-01-23T11:29:33.000Z","MXN","a0FHp00000uorcUMAQ","false","005Hp00000igHBGIA2","2024-01-23T11:29:33.000Z","","","Coca Cola Company - Beberages","005Hp00000igHBGIA2","012Hp000001mPmFIAU","2024-01-23T11:29:33.000Z","Brand Division"
"a0FHp00000uorcKMAQ","005Hp00000igHBGIA2","2024-01-23T11:37:45.000Z","MXN","a0FHp00000uorceMAA","false","005Hp00000igHBGIA2","2024-01-23T11:37:45.000Z","","","Topo Chico","005Hp00000igHBGIA2","012Hp000001mPmEIAU","2024-01-23T11:37:45.000Z","Brand"
"","005Hp00000igpOJIAY","2024-01-25T10:54:23.000Z","MXN","a0FHp00000uosomMAA","false","005Hp00000igpOJIAY","2024-01-25T10:55:07.000Z","","","Nestlé","005Hp00000igpOJIAY","012Hp000001mPmGIAU","2024-01-25T10:55:07.000Z","Brand Owner"
"a0FHp00000uosomMAA","005Hp00000igpOJIAY","2024-01-25T10:54:32.000Z","MXN","a0FHp00000uosonMAA","false","005Hp00000igpOJIAY","2024-01-25T10:54:32.000Z","","","Maggi","005Hp00000igpOJIAY","012Hp000001mPmEIAU","2024-01-25T10:54:32.000Z","Brand"
"","005Hp00000igHBGIA2","2024-01-30T07:46:25.000Z","MXN","a0FHp00000uovfEMAQ","false","005Hp00000igHBGIA2","2024-01-30T07:46:25.000Z","","","PepsiCo","005Hp00000igHBGIA2","012Hp000001mPmGIAU","2024-01-30T07:46:25.000Z","Brand Owner"
"a0FHp00000uovfEMAQ","005Hp00000igHBGIA2","2024-01-30T07:46:27.000Z","MXN","a0FHp00000uovfFMAQ","false","005Hp00000igHBGIA2","2024-01-30T07:46:27.000Z","2024-03-03T14:32:30.000Z","2024-03-03T14:32:30.000Z","Gamesa","005Hp00000igHBGIA2","012Hp000001mPmEIAU","2024-01-30T07:46:27.000Z","Brand"
"","005Hp00000igHBGIA2","2024-01-30T07:53:29.000Z","MXN","a0FHp00000uovfJMAQ","false","005Hp00000igHBGIA2","2024-01-30T07:53:29.000Z","2024-03-03T14:32:11.000Z","2024-03-03T14:32:11.000Z","Yakult","005Hp00000igHBGIA2","012Hp000001mPmGIAU","2024-01-30T07:53:29.000Z","Brand Owner"
"a0FHp00000uovfJMAQ","005Hp00000igHBGIA2","2024-01-30T07:53:32.000Z","MXN","a0FHp00000uovfKMAQ","false","005Hp00000igHBGIA2","2024-01-30T07:53:32.000Z","2024-03-03T14:46:14.000Z","2024-03-03T14:46:14.000Z","Yakult","005Hp00000igHBGIA2","012Hp000001mPmEIAU","2024-01-30T07:53:32.000Z","Brand"
"","005Hp00000igHBGIA2","2024-01-30T08:44:27.000Z","MXN","a0FHp00000uovgUMAQ","false","005Hp00000igHBGIA2","2024-01-30T08:44:27.000Z","","","Casa Don Ramón","005Hp00000igHBGIA2","012Hp000001mPmGIAU","2024-01-30T08:44:27.000Z","Brand Owner"
"a0FHp00000uovgUMAQ","005Hp00000igHBGIA2","2024-01-30T08:44:31.000Z","MXN","a0FHp00000uovgZMAQ","false","005Hp00000igHBGIA2","2024-01-30T08:44:31.000Z","","","Don Ramón","005Hp00000igHBGIA2","012Hp000001mPmEIAU","2024-01-30T08:44:31.000Z","Brand"
"","005Hp00000igHBGIA2","2024-01-31T16:30:47.000Z","MXN","a0FHp00000uox4MMAQ","false","005Hp00000igHBGIA2","2024-01-31T16:30:47.000Z","","","Clamato","005Hp00000igHBGIA2","012Hp000001mPmGIAU","2024-01-31T16:30:47.000Z","Brand Owner"
"a0FHp00000uox4MMAQ","005Hp00000igHBGIA2","2024-01-31T16:30:50.000Z","MXN","a0FHp00000uox4RMAQ","false","005Hp00000igHBGIA2","2024-01-31T16:30:50.000Z","2024-03-03T13:45:26.000Z","2024-03-03T13:45:26.000Z","Clamato","005Hp00000igHBGIA2","012Hp000001mPmEIAU","2024-01-31T16:30:50.000Z","Brand"
"","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","MXN","a0FHp00000upTS1MAM","false","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","","","Bright Light","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T13:59:21.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","MXN","a0FHp00000upTS2MAM","false","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","","","John Barr","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T13:59:21.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","MXN","a0FHp00000upTS4MAM","false","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","","","Jagermeister","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T13:59:21.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","MXN","a0FHp00000upTS5MAM","false","005Hp00000ihVbKIAU","2024-03-03T13:59:21.000Z","","","Nutradog","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T13:59:21.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T14:15:54.000Z","MXN","a0FHp00000upTSIMA2","false","005Hp00000ihVbKIAU","2024-03-03T14:15:54.000Z","","","Tutsi Pop","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T14:15:54.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSVMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","ICEE","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSWMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Kempler&Strauss","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSXMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Transpiel","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSYMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Hostess","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSZMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Huggies","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSaMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","O'Sabor","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSbMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","3V","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTScMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Bachoco","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSdMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Beefeater","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSeMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","SICO","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSfMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Gloria","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSgMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Lambrusco","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTShMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Del Campo","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSiMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Marindos","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSjMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Marinela","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSkMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Don Ramon","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSlMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Hubba Bubba","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSmMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Minino","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSnMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Netflix","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSoMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Nissin","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSpMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Nestlé","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSqMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Norjal","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSrMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Nugget","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSsMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Karo","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTStMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Sonrics","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSuMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Spirit","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSvMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Lays","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSwMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","SGS","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
