"CS_PRODUCT_OBJECT_TYPE__C","CATEGORY_GROUP__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CATEGORY_LEVEL_3__C","CATEGORY_LEVEL_4__C","CATEGORY_LEVEL_5__C","CATEGORY_LEVEL_6__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","GLOBAL_CATEGORY_GROUP__C","GLOBAL_CATEGORY_LEVEL_1__C","ID","ISDELETED","IS_SUPERMARKET__C","JOKR_ENTITY__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"","","","","","","","","005Hp00000igZMVIA2","2024-01-19T14:52:04.000Z","USD","","","a0JHp00000m9z6yMAA","false","false","","005Hp00000igZMVIA2","2024-01-19T14:52:04.000Z","2024-03-06T23:00:40.000Z","2024-03-06T23:00:40.000Z","Parent Global Category Tree","005Hp00000igZMVIA2","2024-01-19T14:52:04.000Z"
"","Packaged Food","Beverages","Water","Sparkling Water","","","","005Hp00000igHBGIA2","2024-01-23T11:40:41.000Z","MXN","Package Food","","a0JHp00000mA1IYMA0","false","false","001Hp00002kvRgtIAE","005Hp00000igHBGIA2","2024-01-23T11:40:41.000Z","","","PF101012004","005Hp00000igHBGIA2","2024-01-23T11:40:41.000Z"
"","General Merchandise","Tools & Home Improvement","Hardware","Tarps & Tie-Downs","","","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","MXN","","","a0JHp00000mA2S2MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","","","GM108004004","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z"
"","General Merchandise","Tools & Home Improvement","Material Handling","Hand Trucks & Dollies","","","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","MXN","","","a0JHp00000mA2S3MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","","","GM108005001","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z"
"","General Merchandise","Tools & Home Improvement","Material Handling","Ladders & Workbenches","","","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","MXN","","","a0JHp00000mA2S4MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","","","GM108005002","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z"
"","General Merchandise","Tools & Home Improvement","Measuring & Levelling","Calipers","","","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","MXN","","","a0JHp00000mA2S5MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z","","","GM108006001","005Hp00000igpOJIAY","2024-01-25T11:04:47.000Z"
"","Fresh Food","Bakery","Baked Goods & Desserts","Cakes, Fruit Loaves & Scones","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2SuMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101001001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Baked Goods & Desserts","Cookies, Brownies & Macarons","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2SvMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101001002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Baked Goods & Desserts","Pretzels","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2SwMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101001003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Baked Goods & Desserts","Shortbread","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2SxMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101001004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Baked Goods & Desserts","Slices, Pies & Tarts","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2SyMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101001005","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Breakfast & Pastries","Croissants","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2SzMAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101002001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Breakfast & Pastries","Crumpets & Muffins","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T0MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101002002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Breakfast & Pastries","Pancakes, Crepes & Waffles","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T1MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101002003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Breakfast & Pastries","Pastries & Brioche","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T2MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101002004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Bagels & Pretzels","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T3MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Buns & Rolls","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T4MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Crispbread & Toast","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T5MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
