"BRAND_OWNER__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RECORDTYPEID","SYSTEMMODSTAMP","TYPE__C"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMJMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Bright Light","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMKMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","John Barr","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMLMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Tutsi Pop","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMMMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Jagermeister","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMNMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Nutradog","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMOMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","ICEE","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMPMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Kempler&Strauss","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMQMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Transpiel","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMRMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Hostess","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMSMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Huggies","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMTMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","O'Sabor","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMUMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","3V","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","MXN","a0FD40000025JMVMA2","false","005Hp00000ihVbKIAU","2024-03-15T06:52:23.000Z","","","Bachoco","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-15T06:52:23.000Z","Brand Owner"
