"AREA_ACCOUNT__C","CASE_SAFE_ID__C","CHILLED_CAPACITY__C","CHILLED_SIZE__C","CITY_CODE__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","EXTERNAL_ID__C","FROZEN_CAPACITY__C","FROZEN_SIZE__C","HUB_ACCOUNT__C","HUB_CITY__C","HUB_COUNTRY_CODE__C","HUB_COUNTRY__C","HUB_GEOLOCATION__LATITUDE__S","HUB_GEOLOCATION__LONGITUDE__S","HUB_GEOLOCATION__C","HUB_NAME__C","HUB_POSTAL_CODE__C","HUB_PRIORITY_OVERRIDE__C","HUB_STATE__C","HUB_STATUS__C","HUB_STREET__C","HUB_TYPE__C","ID","ISDELETED","JOKR_ENTITY__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MANAGER__C","NAME","NETSUITEID__C","OWNERID","PARTNER_CODE__C","PROFILE__C","REFRIGERATED_SIZE__C","REFRIGERATOR_CAPACITY__C","REGIONAL_ACCOUNT__C","ROOM_TEMPERATURE_CAPACITY__C","ROOM_TEMPERATURE_SIZE__C","SAFETY_LEAD_TIME__C","SYSTEMMODSTAMP","VMPAY_EXTERNAL_ID__C","ZONE_10__C","ZONE_1__C","ZONE_2__C","ZONE_3__C","ZONE_4__C","ZONE_5__C","ZONE_6__C","ZONE_7__C","ZONE_8__C","ZONE_9__C"
"001Hp00002kuyTLIAY","a0AHp000013OKbhMAG","","","508","005Hp00000igHBGIA2","2024-01-30T07:43:22.000Z","MXN","","","","001Hp00002kvwwRIAQ","Monterrey","mx","Mexico","25.748062","-100.385552","","MFC Mina Voladora FDC","64348","Default","Nuevo Leon","Active","Av. Prol. Ruiz Cortines 91-A SUPER, Misión Cumbres","Hub","a0AHp000013OKbhMAG","false","001Hp00002kvRgtIAE","005Hp00000igHBGIA2","2024-01-30T07:44:13.000Z","2024-04-09T15:50:33.000Z","2024-04-09T15:50:33.000Z","","508GY","","005Hp00000igHBGIA2","","","","","001Hp00002kuyTBIAY","","","0.0","2024-01-30T07:44:13.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AHp000013OG0hMAG","","","504","005Hp00000igHBGIA2","2024-01-23T11:53:03.000Z","MXN","","","","001Hp00002kvRneIAE","Monterrey","mx","Mexico","","","","MFC Missouri","","Default","Nuevo Leon","Active","Av. Vasconcelos 200","Hub","a0AHp000013OG0hMAG","false","001Hp00002kvRgtIAE","005Hp00000igHBGIA2","2024-01-23T15:05:52.000Z","2024-04-09T20:05:20.000Z","2024-04-09T20:05:20.000Z","","504LX","","005Hp00000igHBGIA2","","","","","001Hp00002kuyTBIAY","","","0.0","2024-01-23T15:05:52.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBdMAO","","","508","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001Hp00002kvwwRIAQ","","mx","Mexico","","","","MFC Mina Voladora FDC","","Default","","","","Hub","a0AD4000001XSBdMAO","false","001Hp00002kvRgtIAE","005Hp00000igZMVIA2","2024-04-15T09:04:17.000Z","2024-04-12T20:52:02.000Z","2024-04-12T20:52:02.000Z","005Hp00000igZMVIA2","508GY","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-15T09:04:17.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AHp000013OKbcMAG","","","501","005Hp00000igHBGIA2","2024-01-30T07:36:15.000Z","MXN","","","","001Hp00002kvwwMIAQ","Monterrey","mx","Mexico","","","","MFC Mina Voladora PEC","64348","Default","Nuevo Leon","Active","Av. Prol. Ruiz Cortines 91-A SUPER, Misión Cumbres","Hub","a0AHp000013OKbcMAG","false","001Hp00002kvRgtIAE","005Hp00000igHBGIA2","2024-01-30T07:36:15.000Z","2024-04-15T13:52:25.000Z","2024-04-15T13:52:25.000Z","","5017Q","","005Hp00000igHBGIA2","","","","","001Hp00002kuyTBIAY","","","0.0","2024-01-30T07:36:15.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBiMAO","","","50D","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001D400000p88OjIAI","","mx","Mexico","","","","MFC Ciruelos","","Default","","","","Hub","a0AD4000001XSBiMAO","false","001Hp00002kvRgtIAE","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","","","","50D49","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-10T17:43:26.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBcMAO","","","504","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001D400000p88OeIAI","","mx","Mexico","","","","MFC Missouri FDC","","Default","","","","Hub","a0AD4000001XSBcMAO","false","001Hp00002kvRgtIAE","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","","","","504LX (New)","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-10T17:43:26.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBkMAO","","","Cus","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001Hp00002kuyTBIAY","","mx","Mexico","","","","","","Default","","","","Hub","a0AD4000001XSBkMAO","false","001Hp00002kvRgtIAE","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","","","","CustomerSuccessAccount","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-10T17:43:26.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBRMA4","","","506","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001D400000p88OiIAI","","mx","Mexico","","","","MFC Tamayo PEC","","Default","","","","Hub","a0AD4000001XSBRMA4","false","001Hp00002kvRgtIAE","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","","","","5068V","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-10T17:43:26.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBbMAO","","","50X","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001D400000p88OdIAI","","mx","Mexico","","","","MFC Vellanía FDC","","Default","","","","Hub","a0AD4000001XSBbMAO","false","001Hp00002kvRgtIAE","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","","","","50X2J","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-10T17:43:26.000Z","","","","","","","","","","",""
"001Hp00002kuyTLIAY","a0AD4000001XSBfMAO","","","50L","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","MXN","","","","001D400000p88OnIAI","","mx","Mexico","","","","MFC Parque Tucan","","Default","","","","Hub","a0AD4000001XSBfMAO","false","001Hp00002kvRgtIAE","005Hp00000ihVbKIAU","2024-04-10T17:43:26.000Z","","","","50L3P","","005Hp00000ihVbKIAU","","","","","001Hp00002kuyTBIAY","","","0.0","2024-04-10T17:43:26.000Z","","","","","","","","","","",""
