"AGE_VERIFICATION_REQUIRED__C","AISLE__C","AVAILABLE_QUANTITY__C","AVAILABLE_TO_SELL_QUANTITY__C","AVERAGE_UNITARY_COST__C","BARCODE_2__C","BARCODE_3__C","BARCODE_TEXT__C","BARCODE__C","BAY__C","BIN__C","CASE_SAFE_ID__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CHARGE_TAX__C","CITY_CODE__C","COMMITTED_QUANTITY__C","COMPARE_AT_PRICE__C","CONTENT_READY__C","COUNTRY__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","DC_VENDOR_PRODUCT__C","DSI_TARGET_OVERRIDE_END_DATE__C","DSI_TARGET_OVERRIDE__C","DAILY_QUALITY_CHECK_1__C","DAILY_QUALITY_CHECK_2__C","DAILY_QUALITY_CHECK_3__C","DEFAULT_LOCATION__C","DELAGE_EXTERNAL_ID__C","DISCOUNT_PERCENT__C","EXCLUDE_FROM_AUTO_ACTIVATION__C","EXTERNAL_ID__C","GENERATE_ORDER_PROPOSAL__C","HUB_CITY__C","HUB_KVI__C","HUB_NAME__C","HUB_SKU_TEXT__C","HUB_SKU__C","HUB_SALES_RANK__C","HUB_STATE__C","HUB__C","ID","INCORRECT_LOCATION__C","ISDELETED","IS_DC_HUB_PRODUCT__C","IS_DSI_DATE_TODAY__C","IS_OUT_OF_STOCK__C","JOKR_PRODUCT_STATUS__C","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","LAST_CONTENT_CHANGE__C","LAST_QUANTITY_ADDED_SELLING_UOM__C","LAST_UNIT_COST__C","LAST_COST_ADDED__C","LONG_DESCRIPTION__C","MAIN_VENDOR_NAME__C","MAIN_VENDOR_PRODUCT__C","MAIN_VENDOR_TYPE__C","MAXIMUM_QUANTITY__C","NAME","NOTES__C","NUMBER_OF_INVENTORIES__C","OBJECTIVE_STOCK_PLUS__C","ON_HAND_COST__C","ON_HAND_QUANTITY__C","PHYSICAL_LOCATION__C","PLUS_AISLE__C","PLUS_BAY__C","PLUS_BIN__C","PLUS_DEFAULT_LOCATION__C","PLUS_ROW__C","PRICE_COMPARE_PRICE_CHECK__C","PRICE__C","PRICE_AND_COMPARE_AT_PRICE__C","PRODUCT_INFO__C","PRODUCT_TITLE__C","PRODUCT_TITLE_TEXT__C","PRODUCT__C","PROMOTION_COMPARE_AT_PRICE__C","PROMOTION_END__C","PROMOTION_ENDED__C","PROMOTION_NAME__C","PROMOTION_PRICE__C","PROMOTION_START__C","PROMOTION_ONGOING__C","PROMOTION_STARTED__C","PURCHASING_STATUS__C","QUALITY_CHECK_TIMES_LEFT__C","REPLENISHED_BY__C","REPLENISHMENT_MODE__C","RETAIL_PRICE__C","ROW__C","SEND_INVENTORY__C","SHOPIFY_INVENTORY_ITEM_ID__C","SHOPIFY_PRODUCT_ID__C","SHOPIFY_VARIANT_ID__C","SHOW_IF_OUT_OF_STOCK__C","SOON_TO_EXPIRE_DISCOUNT__C","STATUS_NEXT_STEP__C","STATUS__C","SUB_CATEGORIES__C","SUBMIT_TO_INTEGRATION__C","SYSTEMMODSTAMP","TO_DISCONTINUE_WHEN_OUT_OF_STOCK__C","TRANSFER_TYPE__C","UNIQUE_EXTERNAL_IDENTIFIER__C","UPCOMING_PROMOTION_PRICE__C","UPCOMING_PROMOTION_DISCOUNT__C","VENDOR_PRODUCT_2__C","VENDOR_PRODUCT_3__C","X18_CHAR_ID__C","ZONE__C"
"No","","0.0","0.0","0.01","","","","20193809283","","","a0LD4000002FNh4MAG","Beer, Wine & Spirits","Accessories","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-03-12T14:17:07.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_20193809283","50645_20193809283","","","a0AHp000013OG1VMAW","a0LD4000002FNh4MAG","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-03-12T14:17:08.000Z","","","","","","","","FEMSA SA de CV","a0kD4000001hEanIAE","External Supplier","0.0","0036","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","12.0","false","20193809283=Core=0=No","Agua Ciel 1L","Agua Ciel 1L","a0UD4000001hPG4MAM","","","false","","","","false","false","","0.0","","Replenish","12.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-03-12T14:17:08.000Z","false","","MX_20193809283","","","","","a0LD4000002FNh4MAG","Zone 1"
"No","","0.0","0.0","0.01","","","","20193809283","","","a0LD4000002FNh5MAG","Beer, Wine & Spirits","Accessories","false","501","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-03-12T14:17:07.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","5017Q","5017Q_20193809283","5017Q_20193809283","","Nuevo Leon","a0AHp000013OKbcMAG","a0LD4000002FNh5MAG","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-03-12T14:17:08.000Z","","","","","","","","FEMSA SA de CV","a0kD4000001hEanIAE","External Supplier","0.0","0037","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","12.0","false","20193809283=Core=0=No","Agua Ciel 1L","Agua Ciel 1L","a0UD4000001hPG4MAM","","","false","","","","false","false","","0.0","","Replenish","12.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-03-12T14:17:08.000Z","false","","MX_20193809283","","","","","a0LD4000002FNh5MAG","Zone 1"
"No","","0.0","0.0","0.01","","","","20193809283","","","a0LD4000002FNh6MAG","Beer, Wine & Spirits","Accessories","false","508","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-03-12T14:17:07.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","508GY","508GY_20193809283","508GY_20193809283","","Nuevo Leon","a0AHp000013OKbhMAG","a0LD4000002FNh6MAG","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-03-12T14:17:08.000Z","","","","","","","","FEMSA SA de CV","a0kD4000001hEanIAE","External Supplier","0.0","0038","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","12.0","false","20193809283=Core=0=No","Agua Ciel 1L","Agua Ciel 1L","a0UD4000001hPG4MAM","","","false","","","","false","false","","0.0","","Replenish","12.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-03-12T14:17:08.000Z","false","","MX_20193809283","","","","","a0LD4000002FNh6MAG","Zone 1"
"No","","92.0","92.0","12.0","","","","20193809283","","","a0LD4000002FNh7MAG","Beer, Wine & Spirits","Accessories","false","504","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-03-12T14:17:07.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","504LX","504LX_20193809283","504LX_20193809283","","Nuevo Leon","a0AHp000013OG0hMAG","a0LD4000002FNh7MAG","false","false","false","false","0.0","Active","","005Hp00000igLP3IAM","2024-03-13T11:41:05.000Z","","","","","","","","FEMSA SA de CV","a0kD4000001hEanIAE","External Supplier","0.0","0039","","6.0","","1104.0","92.0","","","","","---","","No Promotion - OK","12.0","false","20193809283=Core=0=No","Agua Ciel 1L","Agua Ciel 1L","a0UD4000001hPG4MAM","","","false","","","","false","false","","0.0","","Replenish","12.0","","","","","","true","","00: Waiting for Content Ready to Activate","Draft","","false","2024-03-13T11:41:05.000Z","false","","MX_20193809283","","","","","a0LD4000002FNh7MAG","Zone 1"
"No","","8.0","8.0","48.0","3249812093","","","21136020373","","","a0LHp00000QHWtdMAH","Beverages","Water","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-23T15:53:18.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_21136020373","50645_21136020373","","","a0AHp000013OG1VMAW","a0LHp00000QHWtdMAH","false","false","false","false","0.0","Active","","005Hp00000igHBGIA2","2024-01-31T07:46:36.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RPJbIAO","External Supplier","0.0","0002","","1.0","","384.0","8.0","","","","","---","","No Promotion - OK","60.0","false","21136020373=Core=0=No","Agua Mineral Topo Chico 355mL 4pk","Agua Mineral Topo Chico 355mL 4pk","a0UHp00000TkRQ7MAN","","","false","","","","false","false","","0.0","","Replenish","60.0","","","","","","true","","00: Waiting for Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_21136020373","","","","","a0LHp00000QHWtdMAH","Zone 1"
"No","","0.0","0.0","0.01","","","","7501086801138","","","a0LHp00000QHXZCMA5","Beverages","Water","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-24T11:35:17.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_7501086801138","50645_7501086801138","","","a0AHp000013OG1VMAW","a0LHp00000QHXZCMA5","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-24T11:35:18.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RPwyIAG","External Supplier","0.0","0005","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","25.0","false","7501086801138=Core=0=No","Agua Epura 5lt","Agua Epura 5lt","a0UHp00000TkRUoMAN","","","false","","","","false","false","","0.0","","Replenish","25.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501086801138","","","","","a0LHp00000QHXZCMA5","Zone 1"
"No","","10.0","0.0","6.96","","","","7501086801138","","","a0LHp00000QHXZDMA5","Beverages","Water","false","504","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-24T11:35:17.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","504LX","504LX_7501086801138","504LX_7501086801138","","Nuevo Leon","a0AHp000013OG0hMAG","a0LHp00000QHXZDMA5","false","false","false","false","1.0","Active","","005Hp00000igZMVIA2","2024-02-07T15:44:23.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RPwyIAG","External Supplier","0.0","0006","","6.0","","69.64","10.0","","","","","---","","No Promotion - OK","25.0","false","7501086801138=Core=0=No","Agua Epura 5lt","Agua Epura 5lt","a0UHp00000TkRUoMAN","","","false","","","","false","false","","0.0","","Replenish","25.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501086801138","","","","","a0LHp00000QHXZDMA5","Zone 1"
"No","","0.0","0.0","0.01","","","","7501001604103","","","a0LHp00000QHY72MAH","Staples & Pantry","Cooking Sauces & Kits","false","506","0.0","","false","Mexico","005Hp00000igpOJIAY","2024-01-25T11:09:26.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_7501001604103","50645_7501001604103","","","a0AHp000013OG1VMAW","a0LHp00000QHY72MAH","false","false","false","false","1.0","Active","","005Hp00000igpOJIAY","2024-01-25T11:09:26.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RQUzIAO","External Supplier","99.0","0007","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","30.0","false","7501001604103=Core=99=No","Maggi Salsa Original 100 ml","Maggi Salsa Original 100 ml","a0UHp00000TkSSmMAN","","","false","","","","false","false","","0.0","","Replenish","30.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501001604103","","","","","a0LHp00000QHY72MAH","Zone 1"
"No","C","140.0","0.0","17.66","","","","7501001604103","A","","a0LHp00000QHY73MAH","Staples & Pantry","Cooking Sauces & Kits","false","504","0.0","","false","Mexico","005Hp00000igpOJIAY","2024-01-25T11:09:26.000Z","MXN","","","","","","","C-A-4-","","","false","","YES","Monterrey","false","504LX","504LX_7501001604103","504LX_7501001604103","","Nuevo Leon","a0AHp000013OG0hMAG","a0LHp00000QHY73MAH","true","false","false","false","1.0","Active","","005Hp00000igLP3IAM","2024-03-14T12:48:11.000Z","","","","","22.0","","","FEMSA SA de CV","a0kHp000027RQUzIAO","External Supplier","99.0","0008","","6.0","","2471.86","140.0","","","","","---","","No Promotion - OK","30.0","false","7501001604103=Core=99=No","Maggi Salsa Original 100 ml","Maggi Salsa Original 100 ml","a0UHp00000TkSSmMAN","","","false","","","","false","false","","0.0","","Replenish","30.0","4","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-03-14T12:48:11.000Z","false","","MX_7501001604103","","","","","a0LHp00000QHY73MAH","No Zone"
"No","M","13.0","0.0","8.04","","","","75004780089267","A","3","a0LHp00000QHaoeMAD","Snacks & Sweets","Biscuits & Crackers","false","504","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:49:57.000Z","MXN","","","","","","","M-A-3-3","","","false","","YES","Monterrey","false","504LX","504LX_7500478008926","504LX_7500478008926","","Nuevo Leon","a0AHp000013OG0hMAG","a0LHp00000QHaoeMAD","false","false","false","false","1.0","Active","","005Hp00000igZMVIA2","2024-02-01T15:38:47.000Z","","","","","9.5","","","FEMSA SA de CV","a0kHp000027RTERIA4","External Supplier","3.0","0010","","6.0","","104.5","13.0","","","","","---","","No Promotion - OK","13.9","false","7500478008926=Core=3=No","Chokis Gamesa 57 g","Chokis Gamesa 57 g","a0UHp00000TkTrrMAF","","","false","","","","false","false","","0.0","","Replenish","13.9","3","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7500478008926","","","","","a0LHp00000QHaoeMAD","No Zone"
