"ACTIVE_HUBS__C","ADDITIONAL_TAX_RATE__C","AGE_VERIFICATION_REQUIRED__C","ALCOHOL_BY_VOLUME__C","ALCOHOLIC_BEVERAGE__C","ALLOW_FOR_SOON_TO_EXPIRE__C","ARCHIVED_HUBS__C","ASSORTMENT_TYPE__C","AVAILABLE_TO_PURCHASE_VENDOR_PRODUCTS__C","AVALARA_TAX_ID__C","BARCODE_2__C","BARCODE_3__C","BARCODE__C","BRAND_DIVISION__C","BRAND_LINE_OLD__C","BRAND_NAME_OLD__C","BRAND_NAME__C","BRAND_OLD__C","BRAND_OWNER_OLD__C","BRAND_OWNER__C","BRAND_STORY__C","BRAND__C","BUFFER__C","CMS_PRODUCT_LINK__C","CRWN_CONTENT_READY__C","CATEGORY_GROUP__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CATEGORY_LEVEL_3__C","CATEGORY_LEVEL_4__C","CATEGORY_LEVEL_5__C","CATEGORY_LEVEL_6__C","CHILE_ALCOHOL_SCHEDULE_AVAILABLE_TO_SALE__C","CLUSTERS_IN_DISCONTINUATION__C","CONTENT_RELEVANCE__C","COUNTRY_DEFAULT_COMPARE_AT_PRICE__C","COUNTRY_DEFAULT_PRICE__C","COUNTRY_RECOMMENDED_RETAIL_PRICE__C","COUNTRY__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","CUSTOMER_DELIVERY_OPTION__C","CUSTOMER_FULFILLMENT_TYPE__C","CYCLE_COUNT_FREQUENCY__C","DC_TEMPERATURE_DIFFERS_FROM_HUB_TEMP__C","DC_TEMPERATURE_STORAGE_REQUIREMENTS__C","DEFAULT_TAX_RATE__C","DRAFT_HUBS__C","EXCLUDE_FROM_PROMOTIONS__C","EXPIRY_DATE_TRACKING_REQUIRED__C","EXTERNAL_UNIQUE_IDENTIFIER__C","FRESH_PRODUCT__C","GLOBAL_CATEGORY_TREE__C","GLOBAL_NAME__C","GROSS_WEIGHT_UOM__C","GROSS_WEIGHT__C","HEIGHT_UOM__C","HUB_ADDITIONAL_STORAGE_REQUIREMENTS__C","HUB_TEMPERATURE_STORAGE__C","IEPS__C","ID","ISDELETED","IS_BUNDLE__C","IS_GENERIC_PRODUCT__C","IS_KEY_VALUE_ITEM__C","JOKR_ENTITY__C","JOKR_UPID__C","KEY_VALUE_ITEM__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","LENGTH_UOM__C","LOCAL_HERO_PRODUCT__C","LONG_DESCRIPTION__C","MAXIMUM_ACCEPTABLE_RECEPTION_TEMP_C__C","MAXIMUM_QUANTITY__C","MINIMUM_ACCEPTABLE_RECEPTION_TEMP_C__C","MINIMUM_QUANTITY__C","NAME","NET_WEIGHT_UOM__C","NET_WEIGHT__C","NETSUITEID__C","NEXT_STATUS__C","NOTES__C","NUTRITIONAL_TABLE_REQUIRED__C","OPEN_CATALOGUE_URL__C","PRIVATE_LABEL_PRODUCT__C","PRODUCT_CONTENT_READY__C","PRODUCT_DESCRIPTION__C","PRODUCT_HEIGHT__C","PRODUCT_LENGTH__C","PRODUCT_OWNERSHIP__C","PRODUCT_REGISTRATION_STEP__C","PRODUCT_TITLE__C","PRODUCT_TYPE__C","PRODUCT_WIDTH__C","PUBLIC_IMAGE_URL__C","PURCHASING_STATUS__C","PURCHASING_UNAVAILABLE__C","QUALITY_TECHNICAL_CARD__C","RECEPTION_TEMPERATURE_TRACKING_REQUIRED__C","SKU__C","SEARCH_TERMS__C","SELLING_QUANTITY_UOM__C","SELLING_QUANTITY__C","SELLING_UOM__C","SHELF_LIFE_INBOUND_MINIMUM__C","SHELF_LIFE_OUTBOUND_MINIMUM__C","SHELF_LIFE_TRACKING_REQUIRED__C","SHELF_LIFE_TYPE__C","SHORT_DESCRIPTION__C","SOON_TO_EXPIRE_DEFAULT_DISCOUNT__C","SPECIAL_PACKAGING_REQUIREMENTS__C","STATUS__C","SUB_CATEGORY_CO__C","SUB_CATEGORY_MX__C","SUB_CATEGORY_PE__C","SUB_CATEGORY_US__C","SUBSTITUTE_1__C","SUBSTITUTE_2__C","SUBSTITUTE_3__C","SYSTEMMODSTAMP","TAX_CODE_2__C","TAX_CODE__C","TAX_PERCENTAGE_2__C","TAX_PERCENTAGE__C","TAXATION_READY__C","TESTDATEVALUE__C","TO_DISCONTINUE_WHEN_OUT_OF_STOCK__C","TOPSORT_VENDOR__C","TOTAL_SHELF_LIFE_IN_DAYS__C","TOTAL_TAX_RATE__C","TRANSPORT_TEMPERATURE__C","UI_CATEGORIES__C","UI_CONTENT_1_UOM__C","UI_CONTENT_1__C","UI_CONTENT_2_UOM__C","UI_CONTENT_2__C","UOM2__C","UNIT_VOLUME_IN_CM3__C","VALID_CLUSTERS__C","VENDOR_ACCOUNT__C","VENDOR_NAME__C","VENDOR_TEST_ITEM__C","VENDOR_MINIMUM_PRICE__C","VENDOR_REVENUE_SHARE_PERCENTAGE__C","VOLUME_UOM__C","VOLUME__C","WARRANTY_OFFERED__C","WIDTH_UOM__C","X18_CHAR_ID__C","YIELD_UOM__C","YIELD__C","COMPETITOR_PRICE_BENCHMARK_URL_1__C","COMPETITOR_PRICE_BENCHMARK_URL_2__C","COMPETITOR_PRICE_BENCHMARK_URL_3__C"
"0.0","","No","","","false","0.0","Standard","1.0","","","","20193809283","","","","Coca Cola","","","Coca Cola Company","","a0FHp00000uorcPMAQ","","","","Alcohol, Tobacco, e-Cigarettes & Vaping","Beer, Wine & Spirits","Accessories","","","","","false","","High","","12.0","","Mexico","005Hp00000igHBGIA2","2024-03-11T14:50:09.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSLEhIAO","0.0","false","No","MX_20193809283","false","a0JHp00000mA2YtMAK","","","","","","Room Temperature","","a0UD4000001hPG4MAM","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000igHBGIA2","2024-03-12T14:16:44.000Z","2024-03-22T12:03:21.000Z","2024-03-22T12:03:21.000Z","","false","","","","","1.0","Agua Ciel 1L","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","","","","","","false","","No","20193809283","","","","","","","","","","","","Active","","","","","","","","2024-03-12T14:16:44.000Z","","IVA0","0.0","0.0","false","14:16:44.000","false","Coca Cola Company","","0.0","","","cada","1.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hPG4MAM","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","0036731106063","","","","Gatorade","","","Gatorade","","a0FD40000025JbSMAU","","","","Oxxo: Bebidas","Bebidas","","","","","","false","","High","","20.0","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSHNQIA4","0.0","false","No","MX_0036731106063","false","a0JD4000002i18OMAQ","","","","","","Room Temperature","","a0UD4000001hRcgMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Gatorade Ponche 600 ml","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Gatorade Ponche 600 ml","","","https://mioxxo.imgix.net/img/0036731106063.png","","true","","No","0036731106063","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA16","0.0","16.0","false","14:33:37.000","false","Gatorade","","16.0","","","ml","600.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRcgMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","0099072101678","","","","Elite","","","Elite","","a0FD40000025JjCMAU","","","","Oxxo: Hogar","Hogar","","","","","","false","","High","","20.0","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSHNQIA4","0.0","false","No","MX_0099072101678","false","a0JD4000002i195MAA","","","","","","Room Temperature","","a0UD4000001hRchMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Servilletas Elite 420 pz","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Servilletas Elite 420 pz","","","https://mioxxo.imgix.net/img/0099072101678.png","","true","","No","0099072101678","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA16","0.0","16.0","false","14:33:37.000","false","Elite","","16.0","","","pz","420.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRchMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","010248765166","","","","Yemina","","","Yemina","","a0FD40000025Jl2MAE","","","","Oxxo: Abarrotes","Abarrotes","","","","","","false","","High","","8.5","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSLEhIAO","0.0","false","No","MX_010248765166","false","a0JD4000002i18vMAA","","","","","","Room Temperature","","a0UD4000001hRciMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Pasta Yemina Fideo Cambray 200 g","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Pasta Yemina Fideo Cambray 200 g","","","https://mioxxo.imgix.net/img/010248765166.png","","true","","No","010248765166","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA0","0.0","0.0","false","14:33:37.000","false","Yemina","","0.0","","","g","200.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRciMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","010248765173","","","","Yemina","","","Yemina","","a0FD40000025Jl2MAE","","","","Oxxo: Abarrotes","Abarrotes","","","","","","false","","High","","8.5","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSLEhIAO","0.0","false","No","MX_010248765173","false","a0JD4000002i18vMAA","","","","","","Room Temperature","","a0UD4000001hRcjMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Pasta Yemina Codo Liso 1 200 g","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Pasta Yemina Codo Liso 1 200 g","","","https://mioxxo.imgix.net/img/010248765173.png","","true","","No","010248765173","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA0","0.0","0.0","false","14:33:37.000","false","Yemina","","0.0","","","g","200.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRcjMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","010248765197","","","","Yemina","","","Yemina","","a0FD40000025Jl2MAE","","","","Oxxo: Abarrotes","Abarrotes","","","","","","false","","High","","8.5","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSLEhIAO","0.0","false","No","MX_010248765197","false","a0JD4000002i18vMAA","","","","","","Room Temperature","","a0UD4000001hRckMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Pasta Yemina Concha 200 g","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Pasta Yemina Concha 200 g","","","https://mioxxo.imgix.net/img/010248765197.png","","true","","No","010248765197","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA0","0.0","0.0","false","14:33:37.000","false","Yemina","","0.0","","","g","200.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRckMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","010248765241","","","","Yemina","","","Yemina","","a0FD40000025Jl2MAE","","","","Oxxo: Abarrotes","Abarrotes","","","","","","false","","High","","8.5","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSLEhIAO","0.0","false","No","MX_010248765241","false","a0JD4000002i18vMAA","","","","","","Room Temperature","","a0UD4000001hRclMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Pasta Yemina Spaguetti 200 g","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Pasta Yemina Spaguetti 200 g","","","https://mioxxo.imgix.net/img/010248765241.png","","true","","No","010248765241","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA0","0.0","0.0","false","14:33:37.000","false","Yemina","","0.0","","","g","200.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRclMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","010900300131","","","","Reynolds","","","Reynolds","","a0FD40000025JlQMAU","","","","Oxxo: Hogar","Hogar","","","","","","false","","High","","34.0","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSHNQIA4","0.0","false","No","MX_010900300131","false","a0JD4000002i195MAA","","","","","","Room Temperature","","a0UD4000001hRcmMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Papel Aluminio Reynolds Wrap 5m x 30cm 1 pz","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Papel Aluminio Reynolds Wrap 5m x 30cm 1 pz","","","https://mioxxo.imgix.net/img/010900300131.png","","true","","No","010900300131","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA16","0.0","16.0","false","14:33:37.000","false","Reynolds","","16.0","","","pz","1.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRcmMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","013000001243","","","","Heinz","","","Heinz","","a0FD40000025Jd6MAE","","","","Oxxo: Abarrotes","Abarrotes","","","","","","false","","High","","27.5","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSLEhIAO","0.0","false","No","MX_013000001243","false","a0JD4000002i18vMAA","","","","","","Room Temperature","","a0UD4000001hRcnMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Salsa cátsup Heinz 397 g","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Salsa cátsup Heinz 397 g","","","https://mioxxo.imgix.net/img/013000001243.png","","true","","No","013000001243","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA0","0.0","0.0","false","14:33:37.000","false","Heinz","","0.0","","","g","397.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRcnMAE","","","","",""
"0.0","","No","","","false","0.0","Standard","0.0","","","","013117000689","","","","Chicolastic","","","Chicolastic","","a0FD40000025JlnMAE","","","","Oxxo: Bebés","Bebés","","","","","","false","","High","","160.5","","Mexico","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","MXN","Rapid Delivery","Core","","false","","a0dHp00003rSHNQIA4","0.0","false","No","MX_013117000689","false","a0JD4000002i19JMAQ","","","","","","Room Temperature","","a0UD4000001hRcoMAE","false","false","false","0.0","001Hp00002kvRgtIAE","","false","005Hp00000ihVbKIAU","2024-03-28T14:33:37.000Z","","","","false","","","99.0","","1.0","Pañales Chicolastic Bbtips T2 Chico 40 pz","","","","01: Ready to be updated to Inactive","","","","false","false","","","","JOKR owned","Draft","Pañales Chicolastic Bbtips T2 Chico 40 pz","","","https://mioxxo.imgix.net/img/013117000689.png","","true","","No","013117000689","","","","","","","","","","","","Active","","","","","","","","2024-03-28T14:33:37.000Z","","IVA16","0.0","16.0","false","14:33:37.000","false","Chicolastic","","16.0","","","pz","40.0","","","ea","0.0","","","","","","","","","","","a0UD4000001hRcoMAE","","","","",""
